% time spent exploring,episodes,mean 100 episode reward,steps
92,10,-53.6,2200
85,20,-45.6,4324
77,30,-40.0,6781
72,40,-33.7,8368
64,50,-40.0,10653
59,60,-35.9,12244
49,70,-41.0,15443
40,80,-37.7,18088
32,90,-42.8,20418
24,100,-39.8,22737
14,110,-36.5,25831
6,120,-33.6,28346
1,130,-31.1,31806
1,140,-31.9,33976
1,150,-25.8,35843
1,160,-25.1,37168
1,170,-18.4,39290
1,180,-17.6,41816
1,190,-9.9,43564
1,200,-10.6,46565
1,210,-10.2,48381
1,220,-11.0,50448
1,230,-11.1,52436
1,240,-9.2,54120
1,250,-9.9,57498
1,260,-10.1,59626
1,270,-11.2,63704
1,280,-12.2,67212
1,290,-14.3,70785
1,300,-19.8,74573
1,310,-20.1,76893
1,320,-20.8,79779
1,330,-22.2,82362
1,340,-22.0,85541
1,350,-21.2,87953
1,360,-20.3,90668
1,370,-19.3,92660
1,380,-21.2,95761
1,390,-19.5,98560
